date,station_complex_id,station_complex,latitude,longitude,morning_ridership,hotspot,cafe_density_400m
2021-05-21,10,"49 St (N,R,W)",40.7599,-73.98414,6.0,0,84
2021-05-26,10,"49 St (N,R,W)",40.7599,-73.98414,377.0,0,84
2021-06-21,10,"49 St (N,R,W)",40.7599,-73.98414,678.0,0,84
2021-06-30,10,"49 St (N,R,W)",40.7599,-73.98414,491.0,0,84
2021-08-25,10,"49 St (N,R,W)",40.7599,-73.98414,5.0,0,84
2021-10-15,10,"49 St (N,R,W)",40.7599,-73.98414,152.0,0,84
2021-10-19,10,"49 St (N,R,W)",40.7599,-73.98414,84.0,0,84
2021-10-26,10,"49 St (N,R,W)",40.7599,-73.98414,792.0,0,84
2021-10-27,10,"49 St (N,R,W)",40.7599,-73.98414,84.0,0,84
2021-11-17,10,"49 St (N,R,W)",40.7599,-73.98414,204.0,0,84
2021-11-18,10,"49 St (N,R,W)",40.7599,-73.98414,960.0,0,84
2021-12-02,10,"49 St (N,R,W)",40.7599,-73.98414,6.0,0,84
2021-12-16,10,"49 St (N,R,W)",40.7599,-73.98414,266.0,0,84
2021-12-22,10,"49 St (N,R,W)",40.7599,-73.98414,75.0,0,84
2022-01-04,10,"49 St (N,R,W)",40.7599,-73.98414,204.0,0,84
2022-01-26,10,"49 St (N,R,W)",40.7599,-73.98414,551.0,0,84
2022-02-07,10,"49 St (N,R,W)",40.7599,-73.98414,479.0,0,84
2022-02-08,10,"49 St (N,R,W)",40.7599,-73.98414,637.0,0,84
2022-02-09,10,"49 St (N,R,W)",40.7599,-73.98414,210.0,0,84
2022-02-10,10,"49 St (N,R,W)",40.7599,-73.98414,210.0,0,84
2022-02-18,10,"49 St (N,R,W)",40.7599,-73.98414,759.0,0,84
2022-03-02,10,"49 St (N,R,W)",40.7599,-73.98414,863.0,0,84
2022-03-08,10,"49 St (N,R,W)",40.7599,-73.98414,814.0,0,84
2022-03-15,10,"49 St (N,R,W)",40.7599,-73.98414,768.0,0,84
2022-03-29,10,"49 St (N,R,W)",40.7599,-73.98414,938.0,0,84
2022-04-07,10,"49 St (N,R,W)",40.7599,-73.98414,72.0,0,84
2022-04-20,10,"49 St (N,R,W)",40.7599,-73.98414,25.0,0,84
2022-04-27,10,"49 St (N,R,W)",40.7599,-73.98414,422.0,0,84
2022-05-31,10,"49 St (N,R,W)",40.7599,-73.98414,281.0,0,84
2022-06-01,10,"49 St (N,R,W)",40.7599,-73.98414,1215.0,1,84
2022-07-18,10,"49 St (N,R,W)",40.7599,-73.98414,662.0,0,84
2022-08-05,10,"49 St (N,R,W)",40.7599,-73.98414,17.0,0,84
2022-08-08,10,"49 St (N,R,W)",40.7599,-73.98414,252.0,0,84
2022-08-09,10,"49 St (N,R,W)",40.7599,-73.98414,836.0,0,84
2022-08-30,10,"49 St (N,R,W)",40.7599,-73.98414,534.0,0,84
2022-09-13,10,"49 St (N,R,W)",40.7599,-73.98414,643.0,0,84
2023-05-11,10,"49 St (N,R,W)",40.7599,-73.98414,78.0,0,84
2023-06-14,10,"49 St (N,R,W)",40.7599,-73.98414,502.0,0,84
2023-09-27,10,"49 St (N,R,W)",40.7599,-73.98414,1175.0,0,84
2023-10-04,10,"49 St (N,R,W)",40.7599,-73.98414,202.0,0,84
2023-10-17,10,"49 St (N,R,W)",40.7599,-73.98414,1584.0,1,84
2023-11-02,10,"49 St (N,R,W)",40.7599,-73.98414,1207.0,1,84
2023-11-03,10,"49 St (N,R,W)",40.7599,-73.98414,785.0,0,84
2023-11-08,10,"49 St (N,R,W)",40.7599,-73.98414,526.0,0,84
2023-11-23,10,"49 St (N,R,W)",40.7599,-73.98414,4.0,0,84
2024-01-15,10,"49 St (N,R,W)",40.7599,-73.98414,859.0,0,84
2024-02-29,10,"49 St (N,R,W)",40.7599,-73.98414,801.0,0,84
2024-03-05,10,"49 St (N,R,W)",40.7599,-73.98414,1126.0,0,84
2024-04-05,10,"49 St (N,R,W)",40.7599,-73.98414,621.0,0,84
2024-04-16,10,"49 St (N,R,W)",40.7599,-73.98414,253.0,0,84
2024-05-03,10,"49 St (N,R,W)",40.7599,-73.98414,722.0,0,84
2024-05-07,10,"49 St (N,R,W)",40.7599,-73.98414,1258.0,1,84
2024-05-17,10,"49 St (N,R,W)",40.7599,-73.98414,38.0,0,84
2024-05-24,10,"49 St (N,R,W)",40.7599,-73.98414,994.0,0,84
2024-05-31,10,"49 St (N,R,W)",40.7599,-73.98414,786.0,0,84
2024-06-03,10,"49 St (N,R,W)",40.7599,-73.98414,1179.0,1,84
2024-06-13,10,"49 St (N,R,W)",40.7599,-73.98414,156.0,0,84
2024-06-18,10,"49 St (N,R,W)",40.7599,-73.98414,321.0,0,84
2024-06-20,10,"49 St (N,R,W)",40.7599,-73.98414,467.0,0,84
2024-06-21,10,"49 St (N,R,W)",40.7599,-73.98414,917.0,0,84
2024-06-28,10,"49 St (N,R,W)",40.7599,-73.98414,1055.0,0,84
2024-08-28,10,"49 St (N,R,W)",40.7599,-73.98414,1289.0,1,84
2024-08-29,10,"49 St (N,R,W)",40.7599,-73.98414,619.0,0,84
2024-09-04,10,"49 St (N,R,W)",40.7599,-73.98414,1658.0,1,84
2024-09-05,10,"49 St (N,R,W)",40.7599,-73.98414,2048.0,1,84
2024-09-13,10,"49 St (N,R,W)",40.7599,-73.98414,2105.0,1,84
2024-09-28,10,"49 St (N,R,W)",40.7599,-73.98414,210.0,0,84
2024-11-21,10,"49 St (N,R,W)",40.7599,-73.98414,529.0,0,84
2024-11-22,10,"49 St (N,R,W)",40.7599,-73.98414,960.0,0,84
2024-12-03,10,"49 St (N,R,W)",40.7599,-73.98414,982.0,0,84
2024-12-13,10,"49 St (N,R,W)",40.7599,-73.98414,1095.0,0,84
2024-12-26,10,"49 St (N,R,W)",40.7599,-73.98414,1073.0,0,84
2024-12-31,10,"49 St (N,R,W)",40.7599,-73.98414,715.0,0,84
2021-05-21,103,"Bowery (J,Z)",40.72028,-73.99391,4.0,0,82
2021-05-26,103,"Bowery (J,Z)",40.72028,-73.99391,167.0,0,82
2021-06-10,103,"Bowery (J,Z)",40.72028,-73.99391,9.0,0,82
2021-06-21,103,"Bowery (J,Z)",40.72028,-73.99391,87.0,0,82
2021-06-30,103,"Bowery (J,Z)",40.72028,-73.99391,101.0,0,82
2021-08-25,103,"Bowery (J,Z)",40.72028,-73.99391,17.0,0,82
2021-10-26,103,"Bowery (J,Z)",40.72028,-73.99391,132.0,0,82
2021-10-27,103,"Bowery (J,Z)",40.72028,-73.99391,7.0,0,82
2021-11-17,103,"Bowery (J,Z)",40.72028,-73.99391,40.0,0,82
2021-11-18,103,"Bowery (J,Z)",40.72028,-73.99391,142.0,0,82
2021-12-02,103,"Bowery (J,Z)",40.72028,-73.99391,10.0,0,82
2021-12-16,103,"Bowery (J,Z)",40.72028,-73.99391,13.0,0,82
2021-12-22,103,"Bowery (J,Z)",40.72028,-73.99391,35.0,0,82
2022-01-04,103,"Bowery (J,Z)",40.72028,-73.99391,16.0,0,82
2022-01-26,103,"Bowery (J,Z)",40.72028,-73.99391,64.0,0,82
2022-02-07,103,"Bowery (J,Z)",40.72028,-73.99391,148.0,0,82
2022-02-08,103,"Bowery (J,Z)",40.72028,-73.99391,109.0,0,82
2022-02-09,103,"Bowery (J,Z)",40.72028,-73.99391,81.0,0,82
2022-02-10,103,"Bowery (J,Z)",40.72028,-73.99391,61.0,0,82
2022-02-18,103,"Bowery (J,Z)",40.72028,-73.99391,119.0,0,82
2022-03-02,103,"Bowery (J,Z)",40.72028,-73.99391,122.0,0,82
2022-03-08,103,"Bowery (J,Z)",40.72028,-73.99391,101.0,0,82
2022-03-15,103,"Bowery (J,Z)",40.72028,-73.99391,140.0,0,82
2022-03-29,103,"Bowery (J,Z)",40.72028,-73.99391,111.0,0,82
2022-04-07,103,"Bowery (J,Z)",40.72028,-73.99391,15.0,0,82
2022-04-20,103,"Bowery (J,Z)",40.72028,-73.99391,91.0,0,82
2022-04-21,103,"Bowery (J,Z)",40.72028,-73.99391,10.0,0,82
2022-04-27,103,"Bowery (J,Z)",40.72028,-73.99391,191.0,0,82
2022-05-31,103,"Bowery (J,Z)",40.72028,-73.99391,86.0,0,82
2022-06-01,103,"Bowery (J,Z)",40.72028,-73.99391,214.0,0,82
2022-07-18,103,"Bowery (J,Z)",40.72028,-73.99391,137.0,0,82
2022-08-05,103,"Bowery (J,Z)",40.72028,-73.99391,23.0,0,82
2022-08-08,103,"Bowery (J,Z)",40.72028,-73.99391,61.0,0,82
