station_complex_id,station_complex,hotspot_days
628,"Fulton St (A,C,J,Z,2,3,4,5)",480
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",325
624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",188
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",150
623,"Canal St (J,N,Q,R,W,Z,6)",135
601,"14 St (F,M,1,2,3)/6 Av (L)",132
625,"Delancey St (F)/Essex St (J,M,Z)",120
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",112
614,"59 St-Columbus Circle (A,B,C,D,1)",100
613,"Lexington Av (N,R,W)/59 St (4,5,6)",84
