date,station_complex_id,station_complex,latitude,longitude,morning_ridership,hotspot
2020-03-28,10,"49 St (N,R,W)",40.7599,-73.98414,50.0,0
2020-03-28,103,"Bowery (J,Z)",40.72028,-73.99391,11.0,0
2020-03-28,118,3 Av (L),40.73285,-73.98612,10.0,0
2020-03-28,119,1 Av (L),40.730953,-73.98163,46.0,0
2020-03-28,13,"28 St (R,W)",40.745495,-73.98869,18.0,0
2020-03-28,14,"23 St (R,W)",40.741302,-73.98934,37.0,0
2020-03-28,143,Inwood-207 St (A),40.868073,-73.9199,148.0,0
2020-03-28,144,Dyckman St (A),40.86549,-73.92727,61.0,0
2020-03-28,145,190 St (A),40.85902,-73.93418,42.0,0
2020-03-28,146,181 St (A),40.851696,-73.937965,68.0,0
2020-03-28,147,175 St (A),40.84739,-73.939705,107.0,0
2020-03-28,149,163 St-Amsterdam Av (C),40.836014,-73.939896,48.0,0
2020-03-28,150,155 St (C),40.830517,-73.94151,36.0,0
2020-03-28,151,"145 St (A,C,B,D)",40.824783,-73.944214,328.0,1
2020-03-28,152,"135 St (C,B)",40.817894,-73.94765,63.0,0
2020-03-28,153,"125 St (A,C,B,D)",40.811108,-73.95235,296.0,1
2020-03-28,154,"116 St (C,B)",40.805084,-73.95488,72.0,0
2020-03-28,155,"Cathedral Pkwy (110 St) (C,B)",40.800602,-73.95816,47.0,0
2020-03-28,156,"103 St (C,B)",40.796093,-73.96146,41.0,0
2020-03-28,157,"96 St (C,B)",40.79164,-73.9647,82.0,0
2020-03-28,158,"86 St (C,B)",40.78587,-73.96892,65.0,0
2020-03-28,159,"81 St-Museum of Natural History (C,B)",40.781433,-73.972145,17.0,0
2020-03-28,16,"8 St-NYU (R,W)",40.730328,-73.99263,35.0,0
2020-03-28,160,"72 St (C,B)",40.775593,-73.97641,17.0,0
2020-03-28,162,"50 St (C,E)",40.762455,-73.985985,40.0,0
2020-03-28,164,"34 St-Penn Station (A,C,E)",40.75229,-73.99339,372.0,1
2020-03-28,165,"23 St (C,E)",40.745907,-73.99804,51.0,0
